SMILES;CNN_VS;Vina pKi;Target protein
CN(C)c1ccccc1C[S+]([O-])c1nccn1c1ccc(Cl)cn1;5.887343;6.223612963;Acetylcholinesterase
CCOC(=O)c1c(C)c(c2ccccc2)n(CC(=O)N2CCCC2)c1C;5.6627119;5.929633964;Acetylcholinesterase
C=CCON(C(=O)c1cc([N+](=O)[O-])cc(C(F)(F)F)c1)C1CC(=O)N1;4.9775286;6.565530984;Acetylcholinesterase
O=C(COC(=O)c1ccc2c(c1)OCCO2)NCCc1ccc(F)cc1;5.0753115;7.360049766;Acetylcholinesterase
C=CCOc1nc2c(c(=O)n(C)c(=O)n2C)n1Cc1ccc(Cl)cc1;5.299692;6.644489372;Acetylcholinesterase
Nc1nc(NCc2ccccc2)nc(Nc2cccc(F)c2)c1[N+](=O)[O-];5.2806144;7.395299046;Acetylcholinesterase
Cc1noc(C)c1Cn1cc(N2CCCN(Cc3ccccc3)C2=O)cn1;5.9740384;6.901104134;Acetylcholinesterase
Nc1nc(NCCc2cccc(O)c2)nc2sc(c3ccco3)nc12;5.576688;6.817210846;Acetylcholinesterase
CCO/C(O)=C1\C(C)=NC(SCC(N)=O)=C(C#N)C1c1cccs1;5.773523;5.038532153;Acetylcholinesterase
CC(=O)c1c(OCC(=O)N(C)C2CCCCC2)ccc2c(C)cc(=O)oc12;6.6370752;7.691393002;Acetylcholinesterase
O=C1CCCCN1c1ccc(CO[C@@H]2COc3nc([N+](=O)[O-])cn3C2)cc1;6.0619425;7.543346024;Acetylcholinesterase
CCOc1ccc(N(CC)S(=O)(=O)c2cccc3nsnc23)cc1;5.8893576;6.581745653;Acetylcholinesterase
CCn1nc(C)c(NC(=O)CSc2nnc(c3ccco3)n2C)c1C;7.159248;6.194003567;Acetylcholinesterase
CCOC(=O)c1cc(CC)sc1NC(=O)COC(=O)c1cnccn1;4.9826868;5.911304338;Acetylcholinesterase
Nc1nc(NCC2CCCO2)nc(Nc2ccc(Cl)cc2)c1[N+](=O)[O-];3.93435;5.851380561;Acetylcholinesterase
CCC(=O)c1cc(F)ccc1OCC(=O)Nc1ccc2c(c1)OCCO2;6.1922709;6.992752263;Acetylcholinesterase
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCCOc1ccc(C(F)(F)F)nc1)C2;3.6598248;6.226432905;Acetylcholinesterase
Cc1cccc(OC2CCN(S(=O)(=O)Cc3cccc(F)c3)CC2)n1;5.563194;7.078055522;Acetylcholinesterase
C=CCOc1ccc(/C=C2\SC(=S)N(N3CCOCC3)C2=O)cc1;6.8187399;6.458373171;Acetylcholinesterase
CCOC(=O)c1cc(c2ccc(C#N)cc2)nc2c1c(C)nn2CCC#N;4.5138009;6.071336071;Acetylcholinesterase
O=C(/C=C/c1ccccc1)Oc1coc(CSc2ncccn2)cc1=O;5.8232506;7.197903075;Acetylcholinesterase
Cc1ncc([N+](=O)[O-])n1CCSc1nnc(c2ccnc(Cl)c2)o1;5.563008;6.637439516;Acetylcholinesterase
C=CCN1CC(c2nc3ccccc3n2CCOc2ccccc2)CC1=O;6.2865675;7.127404514;Acetylcholinesterase
COCc1c(C(=O)OC)nnn1c1ccc(C(F)(F)F)cc1[N+](=O)[O-];3.529427;6.299046423;Acetylcholinesterase
COCCCOc1nccc(c2ccc3nc(NC(C)=O)sc3c2)n1;5.739848;6.573285825;Acetylcholinesterase
CCc1ccc(NC(=O)C(=O)N/N=C(\C)CC(=O)Nc2ccccn2)cc1;4.8740182;7.2261025;Acetylcholinesterase
CC(C)CN(CC(C)C)C(=O)c1cc(S(=O)(=O)N2CCCCC2)c[nH]1;7.5335799;6.201053423;Acetylcholinesterase
C[C@@H](Nc1ncc(C(N)=O)c2[nH]c3cc(c4cnn(C)c4)ccc3c12)C1CC1;5.2146528;7.486947175;Acetylcholinesterase
O=C(OCc1ccc([N+](=O)[O-])cc1)c1ccc(N2CCCC2)c([N+](=O)[O-])c1;6.1198423;7.395299046;Acetylcholinesterase
